,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.neighborhood,location.postalCode,location.state,name,referralId,venuePage.id
11,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,4c61eae9edd320a103d2ab29,15 William Street,AU,Melbourne,Australia,at Custom House Lane,106,"['15 William Street (at Custom House Lane)', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.819328, 'lng': 144.958932}]",-37.819328,144.958932,,3000,VIC,Hudsons Coffee,v-1599966895,
12,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",False,4bcf7aff41b9ef3b7785f8e5,,AU,Melbourne,Australia,,51,"['Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.818304, 'lng': 144.95797527}]",-37.818304,144.95797527,"Melbourne CBD, Melbourne, VIC",3000,VIC,Grazie Coffee Bar,v-1599966895,
13,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,5dfb5f7126752c00088b94f1,472 Flinders Lane,AU,Melbourne,Australia,,68,"['472 Flinders Lane', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.81898, 'lng': 144.95824}]",-37.81898,144.95824,Melbourne CBD,3000,VIC,Rosso Coffee,v-1599966895,
14,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,59a3bd206bdee625ce7a00f9,165 Fitzroy St,AU,St Kilda,Australia,,111,"['165 Fitzroy St', 'St Kilda VIC 3182', 'Australia']","[{'label': 'display', 'lat': -37.819365, 'lng': 144.958936}]",-37.819365,144.958936,"St Kilda, VIC",3182,VIC,Hudsons Coffee,v-1599966895,
15,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,54595fe3498e0495dbbd7559,"Shop 5, 495 Collins St",AU,Melbourne,Australia,,85,"['Shop 5, 495 Collins St', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.81815281375645, 'lng': 144.95763595886933}]",-37.81815281375645,144.95763595886933,,3000,VIC,Bonnie Coffee Brewers,v-1599966895,
16,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,4d9e49d4a4675481aa278be6,8 Exploration Ln.,AU,Melbourne,Australia,at Little Lonsdale St.,79,"['8 Exploration Ln. (at Little Lonsdale St.)', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.809279, 'lng': 144.968483}]",-37.809279,144.968483,,3000,VIC,The League of Honest Coffee,v-1599966896,
17,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",False,555172a1498e9085353cce04,113 Hardware St,AU,Melbourne,Australia,,52,"['113 Hardware St', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.8122308366527, 'lng': 144.96057126569383}]",-37.8122308366527,144.96057126569383,,3000,VIC,Hash Specialty Coffee,v-1599966901,
18,"[{'id': '4bf58dd8d48988d148941735', 'name': 'Donut Shop', 'pluralName': 'Donut Shops', 'shortName': 'Donuts', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/donuts_', 'suffix': '.png'}, 'primary': True}]",False,53165d6d498ebb28a12213b3,12 Sutherland Street,AU,Melbourne,Australia,,88,"['12 Sutherland Street', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.81124, 'lng': 144.961}]",-37.81124,144.961,Melbourne CBD,3000,VIC,Shortstop Coffee & Donuts,v-1599966901,80601344
19,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",False,53e32c2f498e78268d97e719,10 Sutherland Street,AU,Melbourne CBD,Australia,,81,"['10 Sutherland Street', 'Melbourne CBD VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.811302, 'lng': 144.961}]",-37.811302,144.961,"Melbourne CBD, Melbourne, VIC",3000,VIC,Raw Trader,v-1599966901,
20,"[{'id': '4bf58dd8d48988d1f9941735', 'name': 'Food & Drink Shop', 'pluralName': 'Food & Drink Shops', 'shortName': 'Food & Drink', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/foodanddrink_', 'suffix': '.png'}, 'primary': True}]",False,564bda0b498ed408335fa325,,AU,Melbourne,Australia,,86,"['Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.81563238257064, 'lng': 144.9619710445404}]",-37.81563238257064,144.9619710445404,,3000,VIC,Coffee Hive Australia,v-1599966902,
