data_format,development_key,status,year_completed,clue_small_area,clue_block,street_address,property_id,property_id_2,property_id_3,property_id_4,property_id_5,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student accommodation units,institutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application_no,longitude,latitude,Location 1
Post May 16,X0005608,APPLIED,,Docklands,"1,110",The District Docklands 420-454 Docklands Drive DOCKLANDS VIC 3008,593737,620319,,,,17,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,TPM-2018-23,144.9377585,-37.81317308,POINT (144.9377585 -37.81317308)
Post May 16,X0005611,APPLIED,,North Melbourne,365,"191 Peel Street, North Melbourne, 3051",107511,,,,,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,TP-2018-1117,144.956113,-37.80318396,POINT (144.956113 -37.80318396)
Post May 16,X0005613,APPLIED,,Carlton,261,"600-608 Elizabeth Street, Melbourne, 3000",103277,107877,103278,567656,103279,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,939","2,495",0,0,0,0,0,0,0,81,130,TP-2018-1125,144.9590851,-37.80430846,POINT (144.9590851 -37.80430846000001)
Post May 16,X0005614,APPLIED,,Melbourne (CBD),85,Melbourne Central 183-265 La Trobe Street MELBOURNE VIC 3000,105746,103311,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,083","9,851",0,0,0,0,0,0,0,0,160,ID-2018-3,144.9627706,-37.81050923,POINT (144.9627706 -37.81050923)
Post May 16,X0005621,APPLIED,,East Melbourne,656,"90 Jolimont Street, East Melbourne, 3002",105132,105133,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,087",329,0,0,0,0,0,0,0,64,46,TP-2018-1175,144.9795046,-37.81817043,POINT (144.9795046 -37.81817043)
Post May 16,X0005624,APPLIED,,Melbourne (CBD),46,"225 Bourke Street, Melbourne, 3000",101134,101135,101136,105962,105963,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,439","1,733",0,0,0,0,0,0,0,20,427,TPMR-2019-2,144.9670993,-37.81346634,POINT (144.9670993 -37.81346634)
Post May 16,X0005626,APPLIED,,Melbourne (CBD),94,111-125 A'Beckett Street MELBOURNE VIC 3000,100156,,,,,65,631,0,256,312,63,0,0,0,0,0,0,0,0,200,929,143,0,0,0,0,0,0,0,149,204,TPM-2015-30/C,144.9601855,-37.80974677,POINT (144.9601855 -37.80974677)
Post May 16,X0005800,APPLIED,,West Melbourne (Residential),431,"501-509 King Street, West Melbourne, 3003",105338,105339,105340,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,0,0,0,145,138,TP-2019-22,144.9511,-37.8081,POINT (144.9511 -37.8081)
Post May 16,X0005801,APPLIED,,Parkville,928,11-49 Galada Avenue PARKVILLE VIC 3052,653559,612700,,,,14,125,0,44,74,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,148,TPM-2016-18/A,144.9402,-37.7815,POINT (144.94020000000003 -37.7815)
Post May 16,X0005802,APPLIED,,Melbourne (CBD),16,"7-9 Hosier Lane, Melbourne, 3000",104931,,,,,11,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,TP-2019-36,144.969,-37.8164,POINT (144.969 -37.8164)
